Nombre,Edad,Consola,Pais,Genero
Valeria,46,Nintendo,Chile,Mujer
Miguel,43,PlayStation,México,Hombre
Carlos,38,Nintendo,Chile,Hombre
Pedro,42,PlayStation,Chile,Hombre
Diego,39,PC,Chile,Hombre
María,35,PC,Chile,Mujer
Diana,16,PC,Colombia,Mujer
Juan,30,Xbox,Colombia,Hombre
Jorge,40,PC,Argentina,Hombre
Lucía,41,Nintendo,Perú,Mujer
Luis,25,PC,Argentina,Hombre
Juan,24,PlayStation,Chile,Hombre
Pedro,30,Xbox,Argentina,Hombre
Miguel,47,PlayStation,España,Hombre
Luis,44,Nintendo,España,Hombre
Elena,15,Nintendo,Chile,Mujer
Sofía,32,Nintendo,Argentina,Mujer
Juan,19,PC,Argentina,Hombre
Miguel,37,Nintendo,Argentina,Hombre
Andrés,19,Xbox,México,Hombre
Ricardo,22,PlayStation,Chile,Hombre
Paula,32,PlayStation,Perú,Mujer
María,46,Nintendo,Chile,Mujer
Lucía,36,Nintendo,Chile,Mujer
Lucía,17,Nintendo,Perú,Mujer
Laura,16,PC,Chile,Mujer
Carlos,19,PlayStation,Chile,Hombre
Laura,39,PlayStation,Perú,Mujer
Laura,23,Xbox,España,Mujer
Luis,18,Xbox,Argentina,Hombre
Diana,48,Xbox,Argentina,Mujer
Sofía,47,PlayStation,España,Mujer
Jorge,15,Xbox,España,Hombre
Sofía,37,PlayStation,Colombia,Mujer
Miguel,37,Xbox,Chile,Hombre
Laura,18,PlayStation,España,Mujer
Fernando,24,PC,México,Hombre
Ana,43,Nintendo,Argentina,Mujer
Carlos,16,PC,Colombia,Hombre
Fernando,24,Nintendo,Chile,Hombre
Lucía,43,PlayStation,Argentina,Mujer
Carlos,32,PC,Chile,Hombre
Sofía,21,PC,Argentina,Mujer
Carlos,39,Nintendo,México,Hombre
Fernando,30,PlayStation,México,Hombre
Ana,43,Xbox,España,Mujer
Sofía,45,Nintendo,España,Mujer
Paula,23,PC,España,Mujer
Lucía,41,Xbox,Perú,Mujer
Diana,23,Xbox,España,Mujer
Miguel,47,Nintendo,Chile,Hombre
María,29,PlayStation,España,Mujer
María,27,Xbox,España,Mujer
Pedro,46,Xbox,Colombia,Hombre
Valeria,16,Xbox,Chile,Mujer
Camila,20,Nintendo,Colombia,Mujer
Pedro,22,Xbox,España,Hombre
Pedro,27,Nintendo,Colombia,Hombre
Sofía,25,Nintendo,Argentina,Mujer
Diego,28,PlayStation,Perú,Hombre
Paula,43,Nintendo,Colombia,Mujer
Pedro,41,Xbox,Colombia,Hombre
María,34,Xbox,España,Mujer
Pedro,35,Nintendo,España,Hombre
Andrés,18,PlayStation,Colombia,Hombre
Ricardo,38,Nintendo,España,Hombre
Carlos,35,Nintendo,Chile,Hombre
Laura,26,Nintendo,Colombia,Mujer
Miguel,35,Xbox,Argentina,Hombre
María,30,Xbox,Chile,Mujer
Jorge,21,PlayStation,Argentina,Hombre
Ana,21,PlayStation,Argentina,Mujer
Camila,26,PC,Colombia,Mujer
Andrés,45,PC,España,Hombre
Fernando,15,Nintendo,Chile,Hombre
Sofía,31,PlayStation,Chile,Mujer
Carlos,39,Nintendo,Argentina,Hombre
Miguel,34,PlayStation,Colombia,Hombre
Miguel,37,PC,Argentina,Hombre
Pedro,46,PC,Perú,Hombre
Miguel,40,PC,Argentina,Hombre
Juan,43,PlayStation,Chile,Hombre
Luis,31,PlayStation,México,Hombre
Elena,34,PC,Perú,Mujer
Andrés,48,PC,Perú,Hombre
Paula,29,PlayStation,Argentina,Mujer
Pedro,34,PC,España,Hombre
Andrés,50,PC,Perú,Hombre
Juan,48,PC,México,Hombre
Luis,26,PlayStation,México,Hombre
Carlos,15,Nintendo,Colombia,Hombre
Paula,18,Nintendo,Chile,Mujer
Elena,34,Xbox,España,Mujer
Camila,21,Nintendo,Chile,Mujer
Paula,43,PlayStation,Perú,Mujer
Elena,43,PlayStation,Colombia,Mujer
Lucía,30,PC,Argentina,Mujer
Camila,29,Xbox,Perú,Mujer
Lucía,26,Nintendo,Chile,Mujer
Andrés,16,Xbox,Argentina,Hombre
